[run number],ticks_stop,enable_conflict,A_number_citizens,conflict_count_per_cycle,enable_reproduce,A_tough_loose,b,B_tough_loose,B_number_citizens,[step],count A_citizens,count B_citizens
1,300,True,150,2,True,0.3,0.23,0.3,150,0,150,150
1,300,True,150,2,True,0.3,0.23,0.3,150,1,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,2,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,3,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,4,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,5,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,6,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,7,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,8,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,9,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,10,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,11,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,12,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,13,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,14,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,15,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,16,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,17,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,18,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,19,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,20,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,21,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,22,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,23,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,24,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,25,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,26,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,27,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,28,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,29,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,30,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,31,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,32,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,33,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,34,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,35,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,36,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,37,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,38,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,39,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,40,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,41,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,42,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,43,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,44,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,45,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,46,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,47,82,135
1,300,True,150,2,True,0.3,0.23,0.3,150,48,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,49,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,50,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,51,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,52,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,53,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,54,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,55,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,56,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,57,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,58,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,59,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,60,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,61,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,62,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,63,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,64,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,65,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,66,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,67,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,68,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,69,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,70,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,71,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,72,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,73,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,74,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,75,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,76,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,77,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,78,61,128
1,300,True,150,2,True,0.3,0.23,0.3,150,79,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,80,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,81,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,82,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,83,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,84,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,85,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,86,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,87,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,88,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,89,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,90,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,91,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,92,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,93,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,94,45,121
1,300,True,150,2,True,0.3,0.23,0.3,150,95,45,122
1,300,True,150,2,True,0.3,0.23,0.3,150,96,22,122
1,300,True,150,2,True,0.3,0.23,0.3,150,97,22,123
1,300,True,150,2,True,0.3,0.23,0.3,150,98,22,125
1,300,True,150,2,True,0.3,0.23,0.3,150,99,22,126
1,300,True,150,2,True,0.3,0.23,0.3,150,100,23,126
1,300,True,150,2,True,0.3,0.23,0.3,150,101,24,132
1,300,True,150,2,True,0.3,0.23,0.3,150,102,24,147
1,300,True,150,2,True,0.3,0.23,0.3,150,103,25,158
1,300,True,150,2,True,0.3,0.23,0.3,150,104,25,172
1,300,True,150,2,True,0.3,0.23,0.3,150,105,26,189
1,300,True,150,2,True,0.3,0.23,0.3,150,106,30,201
1,300,True,150,2,True,0.3,0.23,0.3,150,107,32,210
1,300,True,150,2,True,0.3,0.23,0.3,150,108,20,216
1,300,True,150,2,True,0.3,0.23,0.3,150,109,22,225
1,300,True,150,2,True,0.3,0.23,0.3,150,110,24,232
1,300,True,150,2,True,0.3,0.23,0.3,150,111,25,235
1,300,True,150,2,True,0.3,0.23,0.3,150,112,25,239
1,300,True,150,2,True,0.3,0.23,0.3,150,113,25,241
1,300,True,150,2,True,0.3,0.23,0.3,150,114,25,241
1,300,True,150,2,True,0.3,0.23,0.3,150,115,25,242
1,300,True,150,2,True,0.3,0.23,0.3,150,116,25,242
1,300,True,150,2,True,0.3,0.23,0.3,150,117,25,242
1,300,True,150,2,True,0.3,0.23,0.3,150,118,25,242
1,300,True,150,2,True,0.3,0.23,0.3,150,119,25,242
1,300,True,150,2,True,0.3,0.23,0.3,150,120,25,242
1,300,True,150,2,True,0.3,0.23,0.3,150,121,25,242
1,300,True,150,2,True,0.3,0.23,0.3,150,122,25,242
1,300,True,150,2,True,0.3,0.23,0.3,150,123,25,242
1,300,True,150,2,True,0.3,0.23,0.3,150,124,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,125,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,126,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,127,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,128,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,129,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,130,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,131,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,132,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,133,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,134,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,135,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,136,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,137,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,138,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,139,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,140,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,141,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,142,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,143,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,144,12,242
1,300,True,150,2,True,0.3,0.23,0.3,150,145,12,243
1,300,True,150,2,True,0.3,0.23,0.3,150,146,12,243
1,300,True,150,2,True,0.3,0.23,0.3,150,147,12,244
1,300,True,150,2,True,0.3,0.23,0.3,150,148,12,246
1,300,True,150,2,True,0.3,0.23,0.3,150,149,12,247
1,300,True,150,2,True,0.3,0.23,0.3,150,150,12,247
1,300,True,150,2,True,0.3,0.23,0.3,150,151,12,254
1,300,True,150,2,True,0.3,0.23,0.3,150,152,12,270
1,300,True,150,2,True,0.3,0.23,0.3,150,153,6,282
1,300,True,150,2,True,0.3,0.23,0.3,150,154,6,299
1,300,True,150,2,True,0.3,0.23,0.3,150,155,6,316
1,300,True,150,2,True,0.3,0.23,0.3,150,156,6,333
1,300,True,150,2,True,0.3,0.23,0.3,150,157,6,344
1,300,True,150,2,True,0.3,0.23,0.3,150,158,6,353
1,300,True,150,2,True,0.3,0.23,0.3,150,159,7,372
1,300,True,150,2,True,0.3,0.23,0.3,150,160,8,382
1,300,True,150,2,True,0.3,0.23,0.3,150,161,8,387
1,300,True,150,2,True,0.3,0.23,0.3,150,162,8,398
1,300,True,150,2,True,0.3,0.23,0.3,150,163,8,409
1,300,True,150,2,True,0.3,0.23,0.3,150,164,8,413
1,300,True,150,2,True,0.3,0.23,0.3,150,165,8,421
1,300,True,150,2,True,0.3,0.23,0.3,150,166,4,429
1,300,True,150,2,True,0.3,0.23,0.3,150,167,4,433
1,300,True,150,2,True,0.3,0.23,0.3,150,168,4,440
1,300,True,150,2,True,0.3,0.23,0.3,150,169,4,446
1,300,True,150,2,True,0.3,0.23,0.3,150,170,4,449
1,300,True,150,2,True,0.3,0.23,0.3,150,171,4,452
1,300,True,150,2,True,0.3,0.23,0.3,150,172,4,455
1,300,True,150,2,True,0.3,0.23,0.3,150,173,5,456
1,300,True,150,2,True,0.3,0.23,0.3,150,174,5,461
1,300,True,150,2,True,0.3,0.23,0.3,150,175,5,464
1,300,True,150,2,True,0.3,0.23,0.3,150,176,5,470
1,300,True,150,2,True,0.3,0.23,0.3,150,177,5,474
1,300,True,150,2,True,0.3,0.23,0.3,150,178,5,477
1,300,True,150,2,True,0.3,0.23,0.3,150,179,5,480
1,300,True,150,2,True,0.3,0.23,0.3,150,180,5,482
1,300,True,150,2,True,0.3,0.23,0.3,150,181,5,484
1,300,True,150,2,True,0.3,0.23,0.3,150,182,5,484
1,300,True,150,2,True,0.3,0.23,0.3,150,183,7,484
1,300,True,150,2,True,0.3,0.23,0.3,150,184,7,484
1,300,True,150,2,True,0.3,0.23,0.3,150,185,7,484
1,300,True,150,2,True,0.3,0.23,0.3,150,186,7,484
1,300,True,150,2,True,0.3,0.23,0.3,150,187,7,484
1,300,True,150,2,True,0.3,0.23,0.3,150,188,7,484
1,300,True,150,2,True,0.3,0.23,0.3,150,189,7,484
1,300,True,150,2,True,0.3,0.23,0.3,150,190,7,484
1,300,True,150,2,True,0.3,0.23,0.3,150,191,7,484
1,300,True,150,2,True,0.3,0.23,0.3,150,192,7,484
1,300,True,150,2,True,0.3,0.23,0.3,150,193,7,484
1,300,True,150,2,True,0.3,0.23,0.3,150,194,7,484
1,300,True,150,2,True,0.3,0.23,0.3,150,195,7,485
1,300,True,150,2,True,0.3,0.23,0.3,150,196,7,485
1,300,True,150,2,True,0.3,0.23,0.3,150,197,7,486
1,300,True,150,2,True,0.3,0.23,0.3,150,198,7,488
1,300,True,150,2,True,0.3,0.23,0.3,150,199,7,489
1,300,True,150,2,True,0.3,0.23,0.3,150,200,7,489
